时间,循环次数,电压(11.76-12.24),电流(70.00-130.00),帧率(28.00-32.00),错误帧(<=0),图像采集,测试结果
17:08:01.611,1,12.06,92.42,30.00,0,True,PASS
17:08:02.613,1,12.06,92.42,30.00,0,True,PASS
17:08:03.600,1,12.06,92.04,30.00,0,True,PASS
17:08:04.595,1,12.06,92.29,30.00,0,True,PASS
17:08:05.617,1,12.06,92.04,30.00,0,True,PASS
17:08:06.617,1,12.06,92.16,30.00,0,True,PASS
17:08:07.598,1,12.06,92.29,30.00,0,True,PASS
17:08:08.613,1,12.06,92.29,30.00,0,True,PASS
17:08:09.603,1,12.06,92.16,30.00,0,True,PASS
17:08:10.602,1,12.06,92.42,30.00,0,True,PASS
17:08:11.619,1,12.06,92.29,30.00,0,True,PASS
17:08:12.613,1,12.06,92.04,30.00,0,True,PASS
17:08:13.617,1,12.06,92.42,30.00,0,True,PASS
17:08:14.598,1,12.06,92.29,30.00,0,True,PASS
17:08:15.605,1,12.06,92.16,30.00,0,True,PASS
17:08:16.611,1,12.06,92.42,30.00,0,True,PASS
17:08:17.613,1,12.06,92.29,30.00,0,True,PASS
17:08:18.596,1,12.06,92.29,30.00,0,True,PASS
17:08:19.618,1,12.06,92.42,30.00,0,True,PASS
17:08:20.608,1,12.06,92.29,30.00,0,True,PASS
17:08:21.600,1,12.06,92.29,30.00,0,True,PASS
17:08:22.617,1,12.06,92.29,30.00,0,True,PASS
17:08:23.598,1,12.06,92.16,30.00,0,True,PASS
17:08:24.600,1,12.06,92.16,30.00,0,True,PASS
17:08:25.619,1,12.06,92.29,30.00,0,True,PASS
17:08:26.618,1,12.06,92.29,30.00,0,True,PASS
17:08:27.604,1,12.06,92.29,30.00,0,True,PASS
17:08:28.602,1,12.06,92.29,30.00,0,True,PASS
17:08:29.617,1,12.06,92.29,30.00,0,True,PASS
17:08:30.605,1,12.06,92.42,30.00,0,True,PASS
17:08:31.617,1,12.06,92.29,30.00,0,True,PASS
17:08:32.613,1,12.06,92.29,30.00,0,True,PASS
17:08:33.609,1,12.06,92.42,30.00,0,True,PASS
17:08:34.605,1,12.06,92.04,30.00,0,True,PASS
17:08:35.611,1,12.06,92.29,30.00,0,True,PASS
17:08:36.602,1,12.06,92.42,30.00,0,True,PASS
17:08:37.617,1,12.06,92.29,30.00,0,True,PASS
17:08:38.613,1,12.06,92.42,30.00,0,True,PASS
